year,mo,da,MAX_DIFF,MIN_DIFF,TEMP_DIFF
2023,10,20,1.5031191517374225,-0.19161739541128497,0.4558773843535633
2023,10,24,1.1324749486540924,0.19990767471030324,0.4606318088837824
2023,10,08,0.11418750004048661,-0.6754085231521003,-0.32886800801499305
2023,10,02,-3.0512335814232756,-4.1372193112636,0.5752693140618277
2023,10,14,0.9522440647051766,0.6050503553574842,0.6465421669771487
2023,10,21,-2.8770497043415446,0.026099844823420426,0.5928833049934283
2023,10,30,0.7424047656317754,2.4953326084985292,-0.37876179535000887
2023,10,18,-3.2820479935934515,-4.771567885733944,0.09132743757638195
2023,10,13,0.4016875163775566,0.047945680161085136,0.07959710403125797
2023,10,10,0.25181713095426517,-0.7577765541169512,-0.34944921439294774
2023,10,28,0.487263735419738,-4.707332473124964,-0.05605501212889408
2023,10,27,4.056300999409601,-0.1148858806831825,0.27458752043024504
2023,10,15,1.0294571179828509,0.634919496415236,0.7396831288314019
2023,10,11,0.48553325568749983,-0.22752235783375596,0.04417781170056401
2023,10,07,2.6562395068395688,-4.769699419510545,-0.17070853663586405
2023,10,01,0.9567006054661817,0.023825784409908124,0.3529251361154735
2023,10,03,1.2743311786256015,0.2522477672015313,0.7036218522926774
2023,10,12,0.7372209925514426,0.13950313183399032,0.3239903998504019
2023,10,29,0.45996968771825664,-0.4850161272430853,-0.18193637451199152
2023,10,26,0.9628795091871538,0.2271921062336375,0.4024771414972008
2023,10,31,3.5911713279961077,-0.8805804694017105,-0.5635036625354459
2023,10,23,4.269564610228571,0.3159398482614577,0.46261958309104756
2023,10,05,0.9115923162659669,0.03893315532040731,0.40616777269929827
2023,10,04,1.2530046135269828,0.15474674443960623,0.611577339818794
2023,10,17,0.24167652786641725,-4.264461881216491,0.33747601128271043
2023,10,06,-3.8414269743281295,-4.6276640870813,-0.0380982963345744
2023,10,09,0.098330446084546,-0.9907944520672416,-0.4549424867480454
2023,10,22,0.9885035750368161,0.34051878186948414,0.6309466137133057
2023,10,25,1.0763547708150725,0.3879502701061597,0.6394727949183547
2023,10,16,0.9669016107151265,0.4146715952183584,0.5957050213336714
2023,10,19,0.8642932594430448,-0.6529303616220261,-0.040459208777065214
