bike_number,TOTAL_DISTANCE
9,485.3592547760714
10,412.84991863411835
11,275.73943506267756
12,469.98803706141507
13,482.7117421772841
14,552.30353273133
15,552.1905131068802
16,2901.908084649068
17,399.6409276358478
18,422.4310298718066
19,513.0159533748117
20,498.88983738656566
21,378.50552855142143
22,583.5956737404304
23,410.9024762390433
24,247.74988243787854
25,1057.9919752539593
26,197.2740835770805
27,622.0467202007267
28,632.3823384653999
29,2796.077570403216
30,409.80150729842995
31,531.4469671220829
32,360.36016246377864
33,3028.2292051254813
34,34.814634192403595
35,318.6969961483961
36,344.82833132105606
37,409.7777501392426
38,594.2136677708819
39,881.2770973107397
40,278.25829716339985
41,416.75317742872437
42,346.67190780251644
43,963.2528296641623
44,302.1174806013441
45,404.3921739859394
46,474.2435649799113
47,456.4672960451579
48,368.57379841854464
49,857.0990034734898
50,631.5291399875263
51,511.97944724755513
52,337.3893901915518
53,707.2156818196632
54,404.9290214026543
55,741.4655149207763
56,2555.900070777586
57,414.4586551292647
58,195.66781903248017
59,461.3073796087669
60,463.0449050746965
61,277.51264324877
62,130.2801777302558
63,514.8236434411662
64,421.36936295112804
65,436.2498488341463
66,2094.2899162235053
67,2945.9789071145215
68,355.2426725130719
69,2545.7372126897335
70,466.30992080274467
71,519.8352364144833
72,544.0401120849965
74,445.35276028948476
75,937.5666031614544
76,457.84480086446183
77,432.97353765768116
78,310.6073544808136
79,390.0899291783528
80,420.41659226295593
81,575.7051273695781
82,309.5840635740633
83,328.5862117700789
84,438.33733433208846
85,1130.0414838222978
86,2756.9843581956197
87,291.7198035634802
88,512.5703708009786
89,470.44725401381163
90,401.6278558480566
91,211.89834598670984
92,917.3866345144559
93,430.20806386249217
94,389.67421886471385
95,440.6470526936308
96,2427.9848302866017
97,541.8639206855887
98,801.1760263397377
99,692.3065461958162
100,2773.4861676853575
101,232.67192225156109
102,540.0599005362604
103,339.46625320635053
104,550.8800303816902
105,303.71762883011445
106,587.2582357136057
107,975.2631098695018
108,164.07668310717668
109,2684.3565245284726
110,368.5178210443999
111,2455.0664768504853
112,447.59159740434507
116,471.57108934435803
117,323.56039903583746
118,545.6399348358073
119,535.3355233053417
120,364.0914312535497
121,233.13732588869627
122,350.667913431193
123,463.0880044061289
124,402.5823532729986
125,234.0980309757259
126,667.9357799260596
127,547.023557818447
128,555.6879639140461
129,370.70915475351956
130,306.98815786485426
131,366.9945668875941
132,1288.0283114743372
133,337.92395866815286
134,2900.6302480372447
135,338.82269197641796
136,442.6428534630968
137,2982.4477631651425
138,377.68333191967383
139,353.7841280106412
140,452.06193224973725
141,574.7361869032318
142,495.90602748691447
143,559.205151608708
144,378.628282409205
145,591.6792338494295
146,414.0685064757312
147,881.9332602399571
148,453.90628064621006
149,394.55949738502665
150,581.6079076372577
151,385.0423418903497
152,587.4795380121893
153,351.6929148770106
154,356.1782328971394
155,565.4388616288638
156,418.18751732947686
157,483.01089222293456
158,2277.148670614603
159,434.9015792631929
160,865.9663193783938
161,158.71807346910992
162,420.2237818218976
163,392.1225274857369
164,447.2891168611789
165,605.4127713387334
167,398.5688848375605
168,395.1663215253666
174,350.94913075505593
175,497.9623758430747
176,361.3676303562232
177,459.8383035429201
178,495.63576534070563
179,325.02306409939337
180,511.5651385626156
181,458.22007892147633
182,418.19456016599656
183,897.2050816628669
184,599.0542507327594
185,335.0591529622005
186,310.27369815549525
187,1392.1924247176667
188,702.9350632863561
189,3056.8825627125652
190,524.5812980398043
191,2925.43731666521
192,332.8016908801604
193,2877.6773137412342
194,549.7629053522237
195,418.6567058829018
196,378.76244212328413
197,663.8430505462463
198,430.9864291359733
199,278.0261402006977
200,460.32125698382896
201,302.19289950804153
202,586.0043299024321
203,345.37719768109173
205,389.70449952314425
206,675.4379538038986
207,440.39768102674225
208,361.4545479453502
209,2948.5762846353614
210,369.59537570578084
211,397.65330434825256
212,1733.4600078262458
213,406.34131119012847
214,2860.0654073136106
215,439.2649510009858
216,211.40646672510582
217,430.54237642316485
218,399.75227843715436
219,565.5067052765947
221,320.6043155200978
222,3308.556097377018
223,475.14216096870075
224,31.96904012686725
225,270.9167547822544
226,561.1657219437903
227,265.1728283701788
228,366.52179923472045
229,409.52382722060406
230,366.48844375284415
231,179.48232262851258
232,488.7425099150539
233,446.9880702015295
234,61.948767178032654
235,433.294460935024
236,2432.379076757842
237,43.51658587926173
238,2785.3447051901944
239,439.0517888052584
240,576.8080553272656
241,489.4241303236203
242,494.4143491155674
243,318.6963633254209
244,219.11831390467952
245,481.71167381740906
246,389.50046754053113
247,280.7644527328851
248,281.7507916828131
249,496.4682407339288
250,620.274063013823
251,318.23713291298253
252,340.6729163863265
253,383.961765113241
254,519.8816739480276
255,933.2654655842385
256,722.1228283629378
257,394.3914869176766
258,453.7308935749083
259,3407.563521481072
260,3429.0090548193066
261,384.10881103643663
262,324.4818748825672
263,423.46632057563266
264,831.1668213437457
265,2402.8214745150676
266,3517.8693867877364
267,3822.7590499516123
268,3328.957380155338
269,3511.407189163491
270,3470.748353822828
271,3574.1500391239306
272,390.4588626280482
273,2228.796899080159
274,3327.545593632435
275,3614.190226190524
276,1378.6419974926225
277,3398.5798707781805
278,3622.565536709138
279,3062.6986404507156
280,2223.8521564421508
281,1883.4908897558767
282,3590.315209454643
283,3295.315388890818
284,3487.3811162449333
285,3626.6816993979323
286,2733.400270085836
287,3774.7090983196304
288,3083.7430387215786
289,3345.4029550572964
