zip_code,HURRICANE_COUNT
36477,16
34952,13
32580,13
32542,13
27964,13
36561,12
34994,12
32410,12
70038,12
28579,12
39534,12
28512,12
39531,12
28557,12
77066,12
32187,12
34957,12
28528,11
28553,11
27941,11
33020,11
77040,11
32544,11
32579,11
36318,11
28584,11
77064,11
32344,11
32112,11
28531,11
33438,10
32547,10
33021,10
32157,10
33019,10
77070,10
34498,10
33051,10
32506,10
32692,10
77084,10
70091,10
39532,10
34951,10
77069,10
33813,9
33542,9
34982,9
27966,9
39540,9
70445,9
77053,9
33844,9
32176,9
32250,9
96913,9
33541,9
34996,9
39530,9
33315,9
36543,9
33179,9
32507,9
77041,9
77095,9
33543,9
33050,9
33160,9
33540,9
33162,9
33004,9
27826,9
33545,9
77065,9
32266,9
77429,9
28428,9
34140,9
32133,9
77080,9
00767,8
96950,8
29915,8
77043,8
34990,8
35035,8
33605,8
29920,8
34139,8
33607,8
33810,8
70757,8
32413,8
34614,8
32508,8
70454,8
32952,8
34946,8
32455,8
77082,8
28524,8
32950,8
77042,8
33039,8
28516,8
33603,8
77486,8
28449,8
33316,8
70050,8
31328,8
32403,8
33312,8
36549,8
29458,8
77086,8
28398,8
34984,8
33841,8
28582,8
36528,8
77063,8
77024,8
28465,8
28519,8
96921,8
77511,8
34448,8
34446,8
33602,8
34981,8
96929,8
33189,8
32951,8
33180,8
77880,8
32464,8
39563,8
77459,8
33760,8
33070,8
34987,8
34145,8
34953,8
70041,8
27875,8
28461,8
31535,8
33774,8
29593,8
33771,8
77545,8
33957,8
77982,8
77015,8
32113,7
36511,7
39841,7
77450,7
77407,7
33815,7
77533,7
27943,7
28581,7
34138,7
70764,7
33009,7
32065,7
32218,7
33614,7
32124,7
77617,7
70538,7
33480,7
33755,7
77085,7
33921,7
32571,7
28357,7
29905,7
33811,7
02876,7
28403,7
34997,7
36530,7
77079,7
28420,7
30449,7
28469,7
33952,7
33476,7
32118,7
32034,7
32949,7
33860,7
29107,7
34216,7
28527,7
33604,7
77983,7
33756,7
96910,7
70344,7
32322,7
34473,7
77598,7
33460,7
28468,7
36509,7
39553,7
77036,7
77365,7
33786,7
34108,7
33778,7
33773,7
33763,7
32541,7
27869,7
33980,7
33785,7
28445,7
33776,7
28470,7
77534,7
33156,7
70711,7
33955,7
34613,7
32174,7
33606,7
30473,7
33843,7
33168,7
36551,7
32117,7
33950,7
29472,7
32736,7
77077,7
33764,7
33190,7
28422,7
29434,7
33759,7
08201,7
28443,7
77503,7
33767,7
77094,7
33761,7
28562,7
32968,7
32430,7
35904,7
32960,7
31561,7
34445,7
33809,7
33161,7
29540,7
33782,7
32935,7
32073,7
32323,7
33181,7
32937,7
77489,7
34119,7
31324,7
32550,7
33847,7
36535,7
33765,7
96932,7
33849,7
21851,7
77550,7
33035,7
32180,7
33851,7
33777,7
31077,7
36526,6
33857,6
77578,6
29407,6
31605,6
33010,6
32607,6
29475,6
33469,6
32052,6
77481,6
70460,6
32233,6
36782,6
30448,6
36542,6
29576,6
77577,6
33042,6
32355,6
02839,6
77098,6
77008,6
33801,6
36564,6
33948,6
31641,6
39565,6
30415,6
30220,6
29572,6
36574,6
33150,6
32102,6
34101,6
35901,6
33138,6
32925,6
28375,6
34109,6
27968,6
39345,6
71423,6
33924,6
70075,6
27949,6
32401,6
33867,6
32110,6
33576,6
39336,6
77477,6
33187,6
33744,6
77406,6
39581,6
77074,6
28314,6
35007,6
77538,6
28480,6
77027,6
31307,6
29582,6
33462,6
32724,6
36541,6
33433,6
28369,6
31318,6
33615,6
77375,6
33426,6
77096,6
33544,6
34102,6
36323,6
27824,6
33154,6
77045,6
33034,6
27885,6
70448,6
34209,6
30412,6
34705,6
33770,6
33461,6
34986,6
77071,6
33406,6
96928,6
70451,6
36445,6
28539,6
76033,6
34472,6
36559,6
29566,6
77007,6
77546,6
33803,6
29431,6
28411,6
00707,6
28462,6
33868,6
33983,6
39564,6
32427,6
70401,6
11772,6
33158,6
32320,6
27921,6
33031,6
08406,6
00791,6
32310,6
77530,6
33805,6
00705,6
27810,6
33960,6
33772,6
31410,6
31738,6
77035,6
32352,6
70043,6
77088,6
77056,6
77046,6
28573,6
29451,6
77030,6
33032,6
77019,6
33709,6
78335,6
34434,6
36540,6
31522,6
34112,6
33405,6
33708,6
11713,6
32830,6
70342,6
39837,6
34606,6
36523,6
70402,6
77055,6
77083,6
77623,6
34698,6
00786,6
29482,6
77057,6
32909,6
33434,6
33435,6
33945,6
33176,6
28412,6
70820,6
77025,6
34491,6
77493,6
34950,6
77357,6
31419,6
33881,6
70466,6
70524,6
33876,6
70450,6
28460,6
33455,6
02896,6
32626,6
35115,6
70788,6
77038,6
36555,6
33609,6
77031,6
33493,6
00830,6
29001,6
34420,6
34114,6
77005,6
70032,6
77379,6
77480,6
33830,6
32343,6
33612,6
77532,6
77430,6
77571,6
33781,6
77371,6
33629,6
77047,6
33812,6
77640,6
33592,6
77440,6
33566,6
28421,6
71441,6
31649,6
34983,6
08401,6
32963,6
77067,6
29550,6
30216,6
36527,6
33486,6
70513,6
29045,6
34947,6
33141,6
77068,6
77014,6
34748,6
77388,6
33634,6
39576,6
36569,5
33647,5
77498,5
34747,5
28396,5
34737,5
29148,5
33637,5
33127,5
00824,5
29102,5
78373,5
29424,5
70355,5
39572,5
34609,5
31055,5
32408,5
32564,5
33309,5
33167,5
31606,5
27888,5
77619,5
70555,5
32966,5
29483,5
31793,5
02830,5
27920,5
27825,5
32054,5
28560,5
29418,5
29935,5
34449,5
70756,5
28589,5
29082,5
78578,5
36556,5
39480,5
77331,5
77006,5
77054,5
28594,5
36727,5
32578,5
35469,5
33973,5
33431,5
36346,5
33624,5
33920,5
34654,5
36080,5
32612,5
77566,5
27526,5
33853,5
77708,5
33037,5
34428,5
77073,5
27982,5
28405,5
77339,5
34602,5
33827,5
32068,5
35906,5
70131,5
36576,5
35954,5
77622,5
36578,5
02826,5
77336,5
33706,5
34223,5
36532,5
70712,5
31630,5
33971,5
08205,5
29492,5
32720,5
32407,5
34683,5
77377,5
33322,5
33140,5
70783,5
33715,5
29436,5
33193,5
29585,5
70710,5
34442,5
34217,5
27884,5
33635,5
39571,5
33873,5
36401,5
31409,5
28401,5
77954,5
70570,5
28452,5
77575,5
30420,5
28341,5
34691,5
77536,5
28479,5
32606,5
33611,5
27948,5
78377,5
27959,5
29229,5
28308,5
32608,5
32625,5
71465,5
34116,5
29907,5
33408,5
77090,5
32931,5
77504,5
77969,5
31309,5
34433,5
29118,5
70767,5
02917,5
00771,5
34639,5
35441,5
29929,5
78007,5
32131,5
00719,5
33442,5
32577,5
77081,5
34690,5
33625,5
77650,5
70772,5
77012,5
32667,5
77401,5
28520,5
31302,5
34480,5
77461,5
32333,5
32114,5
11794,5
35176,5
70755,5
32169,5
77614,5
32221,5
33143,5
29525,5
77415,5
70447,5
71055,5
77632,5
30215,5
29438,5
77478,5
32179,5
32346,5
77494,5
08203,5
34429,5
70648,5
00740,5
33884,5
32570,5
36505,5
36512,5
29146,5
34432,5
77476,5
36776,5
28363,5
70087,5
36613,5
34711,5
31833,5
78520,5
34228,5
72370,5
34484,5
36480,5
39525,5
34681,5
29466,5
29926,5
01529,5
35968,5
33626,5
34972,5
27871,5
00794,5
29056,5
27549,5
29153,5
32767,5
34684,5
32778,5
30439,5
00741,5
32605,5
36470,5
33556,5
78159,5
33523,5
77506,5
33040,5
71473,5
31791,5
34113,5
32601,5
35401,5
35063,5
36351,5
77581,5
70726,5
27981,5
29567,5
70529,5
77665,5
34608,5
32351,5
33865,5
77034,5
31404,5
11790,5
34714,5
77075,5
29048,5
33458,5
33146,5
35763,5
35040,5
29409,5
77514,5
35802,5
33157,5
29401,5
34461,5
34215,5
96915,5
29414,5
33351,5
31637,5
36513,5
32908,5
33036,5
71409,5
31906,5
32920,5
31794,5
32776,5
35114,5
33848,5
33839,5
32431,5
77048,5
39520,5
31510,5
32162,5
27863,5
39574,5
70817,5
31907,5
27936,5
70560,5
38924,5
36524,5
77629,5
31305,5
32148,5
02858,5
33838,5
77372,5
21864,5
31643,5
32934,5
33013,5
77306,5
35463,5
70129,5
39466,5
33877,5
32080,5
70403,5
34210,5
29113,5
29464,5
27972,5
32526,5
34736,5
28442,5
32447,5
77345,5
31326,5
33620,5
39661,5
33321,5
31822,5
70392,5
77362,5
29104,5
31543,5
77584,5
77302,5
70719,5
77422,5
33122,5
35136,5
27864,5
32905,5
34476,5
33311,5
36436,5
33914,5
33837,5
77099,5
28571,5
32798,5
32548,5
33525,5
70358,5
29403,5
31638,5
28438,5
78116,5
39507,5
77520,5
00820,5
34104,5
28467,5
77414,5
31513,5
70357,5
33147,5
70343,5
29154,5
32190,5
33880,5
34753,5
33169,5
34269,5
70301,5
33033,5
78575,5
76706,5
32462,5
33142,5
32359,5
29927,5
39560,4
77554,4
00728,4
32324,4
32796,4
70084,4
39429,4
32331,4
35128,4
32641,4
30276,4
00959,4
28348,4
35051,4
32327,4
33304,4
34431,4
33477,4
31544,4
31796,4
00769,4
77655,4
70443,4
32081,4
28303,4
32409,4
27880,4
70377,4
70364,4
23420,4
32405,4
34607,4
78237,4
33196,4
28425,4
36473,4
70117,4
02324,4
70535,4
11975,4
31220,4
71480,4
00720,4
11962,4
32757,4
29510,4
33483,4
33572,4
34669,4
36916,4
75942,4
70752,4
34679,4
70774,4
29485,4
31781,4
29052,4
11970,4
39346,4
29547,4
32967,4
29856,4
34677,4
77091,4
31903,4
39562,4
31909,4
29448,4
77505,4
39645,4
32136,4
28463,4
36919,4
