usaf,wban,name,lat,lon,TOTAL_TEMP_COUNT
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,903
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,29949
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,85533
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,85469
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,23649
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,53492
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,26246
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,16236
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,28923
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,52606
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,28501
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,28942
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,29128
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,85434
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,23375
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,50236
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,27257
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,18734
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,51677
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,29068
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,26970
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,26758
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,28392
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,28737
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,27223
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,47726
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,28166
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,34892
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,85468
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,25751
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,85051
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,29949
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,29950
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,54065
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,23109
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,24576
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,54500
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,26571
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,27203
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,27338
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,29950
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,29007
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,28762
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,28304
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,27888
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,19640
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,25868
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,27679
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,28713
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,19868
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,17836
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,27622
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,49608
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,23538
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,29405
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,84918
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,29942
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,27259
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,26312
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,29059
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,27072
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,28750
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,28818
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,25737
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,17924
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,85364
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,57081
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,28958
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,27140
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,20158
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,26796
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,25456
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,27968
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,26032
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,27461
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,5498
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,14126
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,28380
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,27899
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,85419
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,85545
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,85532
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,29951
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,29952
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,85479
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,85407
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,27917
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,26514
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,26944
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,24084
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,24278
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,26583
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,29073
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,28932
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,52651
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,38464
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,17660
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,28985
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,26422
999999,14797,BEAR MOUNTAIN WB,41.317,-74.0,11296
