zip_code,NUM_HURRICANES
28594,77
28512,76
28570,75
28557,75
28575,75
28520,72
28584,71
28531,71
28579,71
28553,69
28528,69
28524,68
28577,68
28581,68
28589,68
28511,68
28428,67
28510,67
28409,66
28449,66
28479,66
28412,66
28465,65
28582,64
77541,64
28461,64
28516,63
28556,63
28532,63
28571,63
33030,62
28480,62
70038,62
28533,62
36528,61
28587,61
28515,61
70344,61
33031,60
28422,60
28403,60
70091,60
33173,60
33143,59
33183,59
77550,59
39567,59
33165,59
34957,59
33174,59
33033,59
70357,59
33144,59
33155,59
34952,59
33175,58
33193,58
33185,58
77510,58
28583,58
77577,58
36523,58
28451,58
77563,58
33194,58
33184,58
28529,58
70041,58
77517,58
77531,58
33182,58
33133,58
70050,58
33126,58
33176,58
39581,57
28462,57
33135,57
33172,57
33196,57
33039,57
33146,57
33186,57
27960,57
70083,57
77554,57
77568,57
33032,57
28405,57
33158,57
34982,57
70358,57
33145,57
33156,57
33134,57
33187,57
77534,57
33035,57
33177,56
33190,56
33125,56
33157,56
28411,56
33130,56
28401,56
77591,56
33418,56
33128,56
34994,56
39562,56
33189,55
33170,55
33469,55
33149,55
33412,55
33136,55
28537,55
28539,55
33122,55
77551,55
27885,55
33034,55
31328,55
34983,55
33037,55
77650,55
27824,54
33410,54
33070,54
33129,54
33101,54
33408,54
33131,54
77511,54
70397,54
33139,54
70377,54
34996,54
77590,54
33458,54
33477,54
33132,54
36541,53
31410,53
36509,53
36582,53
36619,53
39563,53
34981,53
33109,53
28429,53
36590,53
33478,53
34986,53
33403,53
33455,53
34139,53
27943,52
28460,52
34987,52
70340,52
33544,52
27978,52
34949,52
28445,52
27948,52
34997,52
70082,52
34984,52
27826,52
77422,51
39530,51
70342,51
77539,51
70538,51
70353,51
33549,51
29928,51
28552,51
39540,51
28547,51
36544,51
36609,51
36693,51
33576,51
34953,51
34637,51
77617,50
36542,50
33956,50
36606,50
33150,50
36688,50
27954,50
36511,50
34950,50
39564,50
33027,50
34606,50
77566,50
34639,50
34145,50
33014,50
33166,50
28443,50
28573,50
34138,50
33012,50
33957,50
77515,50
34113,50
34604,50
28544,50
36555,50
27968,50
33404,50
34609,50
36607,50
27953,50
36608,49
36535,49
34608,49
33945,49
33417,49
33127,49
33013,49
39534,49
33147,49
33178,49
33924,49
39553,49
34140,49
33559,49
34947,49
27915,49
34601,49
33647,49
77573,49
27920,49
33548,49
36568,49
33407,49
34614,49
33409,49
33015,49
28469,49
39565,49
28470,49
34990,49
27959,49
33545,49
33541,49
33523,49
33016,49
33922,49
34679,49
33138,49
77583,48
36695,48
28560,48
33142,48
34101,48
34607,48
33036,48
33168,48
33411,48
28436,48
33167,48
27981,48
32968,48
28543,48
36615,48
77518,48
36564,48
33543,48
28555,48
33849,48
34655,48
33137,48
33169,48
33010,48
36559,48
34137,48
33141,48
31411,48
29915,48
36561,48
27936,48
36605,48
77623,48
34610,48
34669,48
33029,48
77058,47
33001,47
36602,47
36604,47
33181,47
33566,47
70392,47
33931,47
36532,47
34661,47
36603,47
77598,47
33556,47
28420,47
70523,47
70354,47
33160,47
33154,47
34946,47
33009,47
32962,47
34667,47
28546,47
33140,47
33043,47
33025,47
77546,47
70360,47
33018,47
33401,47
33023,47
70514,47
31406,47
33161,47
34112,47
34134,46
36526,46
28468,46
29910,46
33810,46
34119,46
36576,46
34956,46
33542,46
33179,46
33055,46
34654,46
33180,46
77062,46
78590,46
39531,46
33540,46
70343,46
34951,46
34945,46
33162,46
70380,46
33525,46
34638,46
33056,46
33054,46
34613,46
27875,46
33527,45
36618,45
36580,45
77578,45
34108,45
34102,45
34653,45
36612,45
34688,45
28456,45
33592,45
33928,45
77565,45
33558,45
27949,45
34116,45
34114,45
33919,45
33051,45
36530,45
33914,45
28467,45
34104,45
33042,45
31404,45
34602,45
33470,45
36611,44
00824,44
70345,44
33991,44
70363,44
77481,44
33805,44
33813,44
34446,44
77586,44
36567,44
33612,44
33330,44
32958,44
33613,44
28519,44
33437,44
32960,44
36617,44
96950,44
70356,44
29926,44
27964,44
33903,44
33050,44
27982,44
36551,44
33325,44
32548,44
70552,44
33620,44
27972,44
00823,44
31401,44
00820,44
39532,44
33993,44
28452,44
33567,44
32507,44
70352,43
34105,43
70339,43
33413,43
00850,43
29458,43
78521,43
34691,43
34135,43
33904,43
36610,43
33463,43
00841,43
31409,43
34110,43
33327,43
33908,43
34690,43
78598,43
33610,43
27941,43
34224,43
28423,43
78578,43
00830,43
77059,43
34117,43
33618,43
33811,43
33619,43
33617,43
33028,43
33812,43
34448,43
33901,43
70391,43
33323,43
32970,43
70563,43
33594,43
00851,43
70544,43
33480,43
77089,43
33415,42
29927,42
28457,42
34668,42
33809,42
33909,42
33921,42
36616,42
77581,42
32505,42
36575,42
33406,42
33405,42
33436,42
33565,42
33461,42
32506,42
32328,42
32508,42
70519,42
34293,42
33912,42
33815,42
33907,42
33315,42
34288,42
33967,42
27810,42
33607,42
33604,42
33331,42
28562,42
33332,42
33916,42
39507,42
36549,42
34436,42
33467,42
33637,42
78597,42
33803,42
70513,42
34109,42
33326,42
33954,42
33990,42
34289,41
33946,41
32456,41
77505,41
32692,41
77504,41
33460,41
33064,41
33563,41
77655,41
00840,41
33603,41
33626,41
77950,41
32320,41
33319,41
33496,41
32563,41
33801,41
33948,41
34652,41
78566,41
32625,41
36527,41
33472,41
33312,41
27966,41
33473,41
33020,41
77034,41
33702,41
34223,41
33973,41
33026,41
33069,41
70393,41
77459,41
00831,41
28540,41
32561,41
33966,41
32410,41
70373,41
33313,41
70560,41
33066,40
32502,40
33004,40
31415,40
70395,40
33981,40
27925,40
33316,40
77507,40
77587,40
33510,40
33596,40
70359,40
33635,40
31419,40
33701,40
33433,40
70390,40
33614,40
32967,40
34453,40
32544,40
34689,40
33442,40
33334,40
33311,40
33947,40
33317,40
77983,40
33435,40
33351,40
32511,40
34286,40
77053,40
32966,40
34103,40
33324,40
34452,40
77061,40
33487,40
33322,40
33625,40
33021,40
77545,40
33308,40
32465,40
33602,40
33597,40
33847,40
96921,40
39501,40
33073,40
77584,40
32501,40
27947,40
77486,40
32547,40
33578,40
33449,40
33314,40
33063,40
33462,40
33426,40
33704,40
77075,40
29453,40
33605,40
32503,40
96932,40
33703,40
32963,40
33309,40
32541,40
33714,39
33634,39
34287,39
27939,39
77982,39
96910,39
34677,39
33716,39
33762,39
33306,39
32164,39
33328,39
34695,39
32569,39
33484,39
33432,39
33431,39
33781,39
77514,39
33304,39
31324,39
34685,39
34292,39
70374,39
33060,39
33511,39
32534,39
33624,39
33606,39
34428,39
34141,39
96913,39
33772,39
33823,39
34120,39
00801,39
33486,39
32136,39
33953,39
33905,39
78335,39
33062,39
33438,39
33065,39
33019,39
96928,39
36578,39
33305,39
29582,39
33713,39
00802,39
31408,39
33434,39
33301,39
33615,39
34291,39
33965,39
33024,39
29566,39
33445,39
33584,39
28435,39
31405,39
39560,39
33071,38
77640,38
32550,38
77661,38
33782,38
33068,38
33759,38
33321,38
32526,38
33971,38
33755,38
27806,38
70788,38
77017,38
34684,38
70341,38
78583,38
33414,38
70372,38
33756,38
34285,38
33705,38
33936,38
34736,38
33744,38
33850,38
33952,38
33534,38
29429,38
33710,38
33709,38
28450,38
33441,38
33707,38
33708,38
32566,38
32514,38
77536,38
33446,38
77502,38
32403,38
33972,38
27965,38
34275,38
96915,38
33760,38
33839,38
33514,38
33868,38
33573,38
34714,38
28454,38
33444,38
33830,38
34429,38
34681,38
28425,38
32033,38
33763,37
33976,37
33950,37
34753,37
33771,37
33712,37
33569,37
33764,37
70375,37
77415,37
77619,37
33974,37
28455,37
27974,37
29902,37
36574,37
33761,37
33917,37
32648,37
31302,37
32174,37
29440,37
34445,37
33547,37
33579,37
33786,37
33860,37
33765,37
34461,37
32533,37
77571,37
33777,37
33880,37
33715,37
77430,37
32404,37
33609,37
77457,37
70528,37
39503,37
34698,37
33778,37
33428,37
29904,37
31322,37
77048,37
31320,37
32509,37
34683,37
70394,37
33483,37
70364,37
78382,37
32176,37
29482,37
32459,37
33853,37
34450,36
96917,36
77651,36
33770,36
32086,36
33773,36
32951,36
96929,36
33513,36
77477,36
32904,36
33067,36
78575,36
77990,36
29577,36
78340,36
33776,36
29906,36
33711,36
29940,36
33913,36
32579,36
78550,36
77045,36
28442,36
32190,36
34442,36
28574,36
29936,36
70592,36
33983,36
29434,36
34498,36
33040,36
34229,36
32680,36
33881,36
29464,36
77035,36
33585,36
32137,36
32530,36
77031,36
32580,36
78526,36
77627,36
31327,36
34216,36
33498,36
34434,36
33629,36
32908,36
29407,35
29431,35
34449,35
33955,35
33076,35
33870,35
77051,35
32583,35
29424,35
77096,35
33706,35
32542,35
29409,35
32577,35
00653,35
70518,35
78520,35
00606,35
77503,35
77705,35
29451,35
29405,35
29412,35
96952,35
29572,35
78362,35
33503,35
33980,35
31318,35
31407,35
32444,35
33616,35
34715,35
32157,35
77047,35
77087,35
77483,35
32976,35
32401,35
39452,35
33767,35
32578,35
29907,35
78580,35
29935,35
33884,35
32948,35
33476,35
77597,35
78358,35
32909,35
70085,35
77469,35
34465,35
96916,35
00647,35
29401,35
39571,35
32439,35
29579,35
33872,35
77085,35
77033,35
34217,34
34432,34
33774,34
77622,34
00775,34
29905,34
32408,34
77054,34
77099,34
32949,34
32124,34
96951,34
32907,34
34705,34
29575,34
00765,34
32080,34
29466,34
32118,34
00739,34
29909,34
77560,34
00669,34
33877,34
32129,34
33621,34
78359,34
70533,34
29585,34
34142,34
29576,34
33611,34
77021,34
33572,34
00670,34
29438,34
39574,34
29912,34
32145,34
32112,34
32110,34
29439,34
34737,34
33827,34
77025,34
33825,34
32119,34
70346,34
34269,34
32504,34
31307,34
33521,34
77642,34
77489,34
77071,34
32407,34
77506,34
33844,33
32117,33
32405,33
33851,33
70582,33
36613,33
32905,33
33897,33
29403,33
00754,33
39576,33
33841,33
33838,33
32449,33
78336,33
77665,33
70764,33
34711,33
39525,33
32180,33
32950,33
32736,33
78373,33
70631,33
78377,33
00736,33
00678,33
00637,33
00730,33
29568,33
32114,33
31309,33
78586,33
77012,33
78390,33
33859,33
33837,33
00728,33
33785,33
00717,33
29455,33
00784,33
32461,33
77547,33
00704,33
29492,33
32082,33
34748,33
32639,33
31326,33
27927,33
32901,33
77015,33
00716,33
32102,32
34762,32
00667,32
33834,32
29941,32
27956,32
27808,32
29445,32
32359,32
29588,32
34797,32
77074,32
00778,32
33920,32
00685,32
32903,32
34266,32
00698,32
00601,32
77530,32
32466,32
00705,32
77520,32
27928,32
33843,32
34209,32
77611,32
34268,32
00622,32
29510,32
32767,32
32683,32
32187,32
00723,32
00683,32
00786,32
77072,32
77630,32
27916,32
77029,32
29920,32
28472,32
32724,32
70092,32
77098,32
00703,32
28421,32
27923,32
77013,31
77478,31
34210,31
77023,31
00956,31
00719,31
00676,31
77030,31
34215,31
32413,31
77479,31
32564,31
00791,31
33854,31
32628,31
00725,31
00926,31
00662,31
27973,31
77049,31
29487,31
77414,31
70780,31
32571,31
77081,31
77042,31
32735,31
77005,31
31561,31
33896,31
00731,31
00751,31
33856,31
00782,31
34433,31
28424,31
77027,31
00631,31
32778,31
27821,31
29569,31
77008,31
36571,31
00623,31
29450,31
32937,31
77046,31
77036,31
32935,31
00714,31
32725,31
33430,31
00969,31
36587,31
32409,31
00656,31
32193,31
00959,31
32139,31
32321,31
32081,31
27917,31
29526,31
00957,31
77480,31
34788,31
32830,31
77401,31
32424,31
32095,31
31304,31
70721,31
77011,30
00727,30
32462,30
77979,30
70725,30
70776,30
00610,30
34747,30
33873,30
77080,30
77019,30
00766,30
00707,30
77056,30
00757,30
77043,30
33982,30
29414,30
70040,30
00680,30
32776,30
00741,30
00624,30
77973,30
00985,30
29410,30
34972,30
33875,30
32934,30
32128,30
00603,30
00976,30
70086,30
00690,30
00729,30
78393,30
32784,30
78569,30
77007,30
39561,30
00771,30
31323,30
00983,30
32181,30
32738,30
32084,30
32712,30
32798,30
32437,30
00740,30
77444,30
32763,30
32744,30
33898,30
78338,30
00767,30
00738,30
32250,30
00682,30
28478,30
00773,30
00987,30
34242,30
77498,30
00971,30
77521,30
77078,30
70510,30
77028,30
28521,30
00745,30
77063,30
77026,30
32130,30
33570,30
00953,30
77020,30
32168,30
00627,30
29479,30
78535,29
34787,29
