SALE_MONTH,PRODUCT_NAME,PROFIT_MARGIN
2020-01-01,District Threads DT291 - Juniors Core Fleece Pullover Hoodie,0.00599999725818634
2020-02-01,Hatley Nice Balls Holiday Men's Boxers,0.01599999889731407
2020-03-01,Quiksilver Women's QSD Gypsy Tour Short Suns w/Gold Stitching Shorts White,0.00800000037997961
2020-04-01,Laura High Quality Sexy Purple Puhs-up Bra Thong SET #SL101072 Made in Colombia,0.011999998241662788
2020-05-01,Woolrich Women's Andes Fleece Jacket,0.0020000040531158447
2020-06-01,Allegra K Front Slant Pockets Elastic Hem Hoody for Lady Dark Gray Watermelon Red S,0.009999997913837298
2020-07-01,Slimme High Waisted Capri Leggings,0.00400000438094126
2020-08-01,PAIGE Women's Silverlake Short Jean,0.04399999976158122
2020-09-01,Clever Men's Voyeur Brief,0.009999997913837285
2020-10-01,Eliza J Women's One Shoulder Twofer With Jacquard Party Dress,0.0020000040531159948
2020-11-01,Snug Wide Strap Camisole - Black - One Size,0.0020000003278255463
2020-12-01,Project Runway Denim/Leather Jacket,0.02199999988079071
